Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,B365H,B365D,B365A,HomePoints,AwayPoints,HomeForm,AwayForm,HomeGolosMarcados_Ultimos6,HomeGolosSofridos_Ultimos6,HomePontos_Ultimos6,HomeRematesBaliza_Ultimos6,AwayGolosMarcados_Ultimos6,AwayGolosSofridos_Ultimos6,AwayPontos_Ultimos6,AwayRematesBaliza_Ultimos6,H2H_Pontos_Casa,HomeDiasDescanso,AwayDiasDescanso,Home_Streak,Away_Streak,Home_Elo,Away_Elo,Jogos_Casa_Realizados,Peso_Jogo
2021-09-19,Vizela,Pacos Ferreira,1,1,D,4,3,2.3,3.1,2.9,1,1,5,7,1.0,2.2,5.0,3.8,0.8,1.2,7.0,3.0,1.0,7,8,0,0,1487.413898722641,1501.2396670857242,2,0.04904264816161866
2021-09-19,Porto,Moreirense,5,0,H,7,0,1.16,6.0,12.0,3,0,11,3,1.8,0.6,11.0,4.2,1.6,2.0,3.0,4.2,1.0,8,7,0,0,1540.6192902249218,1469.644749555911,2,0.04904264816161866
2021-09-19,Estoril,Sp Lisbon,0,1,A,3,4,5.25,3.8,1.57,0,3,13,11,1.8,0.6,13.0,3.6,1.8,0.6,11.0,5.0,1.0,6,8,3,0,1553.899215244901,1538.8728510063474,2,0.04904264816161866
2021-09-20,Benfica,Boavista,3,1,H,6,6,1.16,6.5,12.0,3,0,15,8,2.6,0.4,15.0,6.2,1.4,1.0,8.0,3.4,1.0,9,8,5,0,1568.2751804735028,1513.6233397167823,2,0.04910987590731738
2021-09-20,Sp Braga,Tondela,3,1,H,7,1,1.33,4.75,8.0,3,0,8,3,1.2,0.8,8.0,5.2,1.2,1.8,3.0,3.4,1.0,9,7,0,-4,1513.249859890045,1459.3345372754588,2,0.04910987590731738
2021-09-24,Sp Lisbon,Maritimo,1,0,H,7,0,1.22,5.5,13.0,3,0,14,6,1.6666666666666667,0.5,14.0,4.833333333333333,1.0,1.3333333333333333,6.0,2.1666666666666665,1.0,5,6,1,0,1554.521187110856,1485.6364813926111,3,0.04937970971333715
2021-09-24,Gil Vicente,Porto,1,2,A,4,8,7.5,4.5,1.4,0,3,8,14,1.1666666666666667,1.0,8.0,4.0,2.3333333333333335,0.5,14.0,4.666666666666667,1.0,6,5,0,1,1495.9508505624533,1552.5969973777617,3,0.04937970971333715
2021-09-25,Moreirense,Arouca,2,1,H,3,5,2.1,3.2,3.4,3,0,3,5,1.3333333333333333,2.5,3.0,3.5,1.0,2.0,5.0,3.1666666666666665,1.0,6,7,-1,0,1457.667042403071,1474.8385895615381,3,0.049447399503585523
2021-09-25,Guimaraes,Benfica,1,3,A,3,4,5.0,3.8,1.61,0,3,7,18,1.0,0.5,7.0,3.6666666666666665,2.6666666666666665,0.5,18.0,6.166666666666667,1.0,7,5,0,6,1499.4120349853783,1580.9349409734227,3,0.049447399503585523
2021-09-25,Tondela,Famalicao,3,2,H,4,7,3.4,3.1,2.2,3,0,3,3,1.1666666666666667,2.0,3.0,3.0,0.8333333333333334,1.5,3.0,4.166666666666667,1.0,5,7,-5,0,1446.6437425092963,1461.5121862148774,3,0.049447399503585523
2021-09-26,Santa Clara,Sp Braga,1,1,D,3,4,4.0,3.4,1.9,1,1,4,11,0.6666666666666666,2.3333333333333335,4.0,3.6666666666666665,1.5,0.8333333333333334,11.0,5.5,1.0,9,6,-2,1,1461.551236605577,1525.9406546562075,3,0.049515182083113764
2021-09-26,Portimonense,Vizela,0,0,D,4,2,2.25,3.25,3.2,1,1,10,6,1.1666666666666667,0.6666666666666666,10.0,3.8333333333333335,1.0,2.0,6.0,3.8333333333333335,1.0,9,7,1,0,1513.2782370642215,1488.0104902488422,3,0.049515182083113764
2021-09-27,Pacos Ferreira,Belenenses,2,2,D,5,2,1.7,3.5,5.25,1,1,8,3,0.8333333333333334,1.1666666666666667,8.0,3.0,0.5,1.3333333333333333,3.0,2.6666666666666665,1.0,8,9,0,0,1500.6430755595231,1461.647794417108,3,0.049583057579117545
2021-09-27,Boavista,Estoril,1,1,D,3,1,2.62,3.1,2.75,1,1,8,13,1.3333333333333333,1.3333333333333333,8.0,3.8333333333333335,1.5,0.6666666666666666,13.0,3.5,1.0,7,8,-1,-1,1500.9635792168624,1538.2508791403923,3,0.049583057579117545
2021-10-01,Maritimo,Moreirense,0,0,D,0,6,2.1,3.2,3.6,1,1,6,6,1.0,1.1666666666666667,6.0,2.1666666666666665,1.5,2.3333333333333335,6.0,3.5,1.0,7,6,-1,1,1473.57210767551,1473.4077946405077,3,0.04985549127791003
2021-10-01,Famalicao,Guimaraes,1,2,A,2,5,2.5,3.2,2.87,0,3,3,7,1.1666666666666667,1.6666666666666667,3.0,5.0,1.1666666666666667,0.8333333333333334,7.0,3.6666666666666665,1.0,6,6,-1,-1,1445.8706554838839,1487.8684601767577,3,0.04985549127791003
2021-10-02,Vizela,Santa Clara,1,1,D,4,1,2.37,3.2,3.0,1,1,7,5,1.0,1.5,7.0,4.0,0.8333333333333334,2.0,5.0,3.3333333333333335,1.0,6,6,0,0,1489.099467332405,1464.2997558751845,3,0.04992383327033815
2021-10-02,Porto,Pacos Ferreira,2,1,H,8,2,1.25,5.5,12.0,3,0,17,9,2.3333333333333335,0.6666666666666666,14.0,4.833333333333333,0.8333333333333334,1.5,6.0,3.3333333333333335,1.0,8,5,2,0,1565.172828633598,1498.9665479101418,3,0.04992383327033815
2021-10-02,Arouca,Sp Lisbon,1,2,A,5,8,8.5,4.2,1.4,0,3,5,17,1.1666666666666667,2.0,5.0,3.5,1.3333333333333333,0.5,14.0,5.166666666666667,1.0,7,8,-1,2,1459.0978373241014,1566.5855608279571,3,0.04992383327033815
